player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Andre Drummond,drumman01,2020,3723,1811,-2.754164053,2.144764424,-0.609399629,-0.989878243,-0.756304817,-1.74618306,-2.534931043,1.742444094,-0.792486948,1.821392866,1.821392866,0,-1.747783389,2.508820764,0.761037375,0.532876896
Jared Dudley,dudleja01,2020,638,309,-0.856183935,1.542906336,0.686722401,-6.294104961,4.638957893,-1.655147067,-2.06617602,2.189985506,0.123809487,0.449617215,0.449617215,0,-2.420707172,1.913259669,-0.507447502,-0.775586401
Kris Dunn,dunnkr01,2020,2687,1269,-1.247955987,3.868134001,2.620178014,-3.319226059,5.119384932,1.800158873,-1.711073763,4.357260318,2.646186555,3.49859672,3.49859672,0,-2.231564011,5.148509399,2.916945388,0.142196444
Carsen Edwards,edwarca01,2020,655,299,-3.600574668,-0.779058126,-4.379632794,-12.15869081,2.46039186,-9.698298946,-5.663519724,-0.192571468,-5.856091191,-0.476873888,-0.476873888,0,-5.256816753,-1.354392763,-6.611209515,0.654653092
Henry Ellenson,ellenhe01,2020,36,15,-4.79062744,12.9947299,8.204102463,-9.413565755,30.61614608,21.20258033,-6.050916066,17.44019942,11.38928335,0.108853095,0.108853095,0,-4.813876502,8.691974254,3.878097753,0.608315526
Wayne Ellington,ellinwa01,2020,942,453,-0.66675453,-0.341137622,-1.007892152,-1.317043276,1.941685734,0.624642458,-0.779298493,0.160113204,-0.619185289,0.490397797,0.490397797,0,-0.729473135,-1.55405498,-2.283528115,-0.430379852
Joel Embiid,embiijo01,2020,2769,1302,1.89383634,3.320425963,5.214262303,-3.797752174,4.376590032,0.578837858,0.827793363,3.69237945,4.520172813,4.863980279,4.863980279,0,1.970760639,4.513757461,6.4845181,0.729852011
James Ennis III,ennisja01,2020,1985,931,-0.721712925,-0.348575789,-1.070288714,2.024640472,-2.658944109,-0.634303637,-0.186505583,-0.89349508,-1.080000664,0.791575961,0.791575961,0,-1.036137835,-0.78493506,-1.821072895,0.062353385
Drew Eubanks,eubandr01,2020,128,58,-2.898904819,-7.865369633,-10.76427445,-12.61416843,-12.23554767,-24.84971611,-5.110470731,-9.171467909,-14.28193864,-0.344086981,-0.344086981,0,-5.328908566,-8.930725682,-14.25963425,0.848660071
Jacob Evans,evansja02,2020,905,418,-4.952501082,-1.334841615,-6.287342696,-4.898635343,0.702111924,-4.19652342,-5.166925181,-0.937346079,-6.10427126,-0.720586199,-0.720586199,0,-5.720893939,-1.375038087,-7.095932026,0.235861642
Dante Exum,exumda01,2020,1022,485,-1.044429291,-0.071517618,-1.115946909,-6.228106196,2.603281932,-3.624824263,-2.143351246,0.553008844,-1.590342402,0.28706425,0.28706425,0,-2.609438596,-0.88675505,-3.496193646,0.094214889
Tacko Fall,fallta01,2020,55,24,-8.814067232,-2.772224578,-11.58629181,-6.603028982,9.660529612,3.05750063,-8.949314338,-0.448808147,-9.398122485,-0.082535688,-0.082535688,0,-7.987900521,-3.044041692,-11.03194221,1.417228678
Derrick Favors,favorde01,2020,2136,984,0.436572387,2.030935284,2.467507671,4.048297227,1.557441248,5.605738475,1.191282326,2.085975781,3.277258107,3.022842124,3.022842124,0,1.468793274,2.140496047,3.609289321,-0.103287546
Cristiano Felicio,feliccr01,2020,788,380,-2.070066865,-4.249035321,-6.319102186,3.204496911,-8.363521115,-5.159024205,-1.044261231,-5.376480767,-6.420741998,-0.706213909,-0.706213909,0,-2.913215196,-3.814679707,-6.727894904,-0.782036711
Terrance Ferguson,fergute01,2020,2254,1102,-3.21527848,0.456068502,-2.759209978,-2.556719502,-3.054301671,-5.611021172,-3.279648148,-0.254398316,-3.534046464,-0.436851551,-0.436851551,0,-3.66673196,0.67545962,-2.99127234,-0.919098522
Bruno Fernando,fernabr01,2020,1402,648,-2.695761247,-0.472314944,-3.16807619,-2.086296507,3.064985432,0.978688924,-2.714745794,0.304725167,-2.410020627,0.112347049,0.112347049,0,-2.474467172,-1.068082354,-3.542549526,-0.048468082
Yogi Ferrell,ferreyo01,2020,1007,481,-1.622866286,1.229572674,-0.393293612,-4.646346983,3.201468049,-1.444878934,-2.330181013,1.735790361,-0.594390652,0.525675743,0.525675743,0,-2.284247746,0.015547853,-2.268699894,-0.641130972
Dorian Finney-Smith,finnedo01,2020,3787,1819,-0.671381373,0.478789727,-0.192591646,3.882655314,-0.655654491,3.227000823,0.211486306,0.271357892,0.482844199,2.974472929,2.974472929,0,0.527124037,0.283843815,0.810967853,-0.876703862
Bryn Forbes,forbebr01,2020,3050,1459,0.205382941,-3.129134323,-2.923751382,-0.69088256,-2.661251592,-3.352134152,0.01773291,-3.21003755,-3.192304641,-0.327559834,-0.327559834,0,-0.212794408,-2.557643851,-2.770438258,-0.521754169
Evan Fournier,fournev01,2020,3896,1870,1.285800306,-0.336183476,0.94961683,0.066933714,-3.48983448,-3.422900766,1.165033184,-1.049101919,0.115931264,2.752870998,2.752870998,0,1.169502471,0.149610914,1.319113385,0.692568351
De'Aaron Fox,foxde01,2020,2756,1299,1.960334784,-0.93289062,1.027444164,1.766162898,-3.013890757,-1.247727859,2.054788994,-1.41409643,0.640692564,2.273828071,2.273828071,0,1.969251702,-0.463245837,1.506005865,1.209860704
Melvin Frazier Jr.,frazime01,2020,107,48,0.971849595,-1.047761782,-0.075912186,-9.934782725,10.55663037,0.621847649,-1.207663301,1.302161108,0.094497807,0.070498618,0.070498618,0,-2.409133498,-0.203478373,-2.612611871,1.227382079
Michael Frazier,frazimi01,2020,147,66,-3.965817601,-8.955882954,-12.92170055,-11.47061757,1.865462702,-9.605154872,-5.852796931,-7.260293051,-13.11308998,-0.353213629,-0.353213629,0,-4.931929409,-6.10003337,-11.03196278,1.244142207
Tim Frazier,fraziti01,2020,740,355,-3.192901335,2.215666124,-0.977235211,-3.205502391,1.282931738,-1.922570653,-3.378524161,2.190338835,-1.188185325,0.281787265,0.281787265,0,-3.21055355,0.600134945,-2.610418605,-0.393203461
Markelle Fultz,fultzma01,2020,3486,1671,-1.883381582,-1.130837786,-3.014219368,3.078331452,-2.166956841,0.911374611,-0.920790478,-1.440939346,-2.361729824,0.329690069,0.329690069,0,-1.133123252,-0.160626514,-1.293749766,-0.409145169
Wenyen Gabriel,gabriwe01,2020,395,178,-5.114337577,-0.36633558,-5.480673157,-3.021618773,-2.133802765,-5.155421538,-4.967012436,-0.698686766,-5.665699202,-0.264697645,-0.264697645,0,-5.427300066,-0.337234927,-5.764534993,0.508584667
Daniel Gafford,gaffoda01,2020,1106,517,-2.220279373,0.556387454,-1.663891919,-2.745024562,3.02677615,0.281751588,-2.416515403,1.075455976,-1.341059426,0.372189277,0.372189277,0,-3.260086364,0.979391724,-2.28069464,0.150508707
Danilo Gallinari,gallida01,2020,3241,1567,3.461440304,0.136067492,3.597507796,6.327003776,-5.704748466,0.62225531,4.263616138,-1.113729495,3.149886643,4.686247391,4.686247391,0,3.920931447,-0.803855485,3.117075961,-0.662198982
Langston Galloway,gallola01,2020,3347,1598,1.044663478,-1.383697837,-0.339034359,0.313391206,-2.318678377,-2.005287172,0.980810494,-1.638385545,-0.65757505,1.703549811,1.703549811,0,0.515678786,-1.912880529,-1.397201743,-0.143741523
Darius Garland,garlada01,2020,3814,1824,-2.962079238,-4.329578458,-7.291657696,0.666266345,-1.491369565,-0.82510322,-2.337729805,-3.953533033,-6.291262839,-3.288514169,-3.288514169,0,-1.832097499,-3.727414267,-5.559511765,-0.216781021
Marc Gasol,gasolma01,2020,2066,974,-1.532772473,2.704665254,1.171892781,1.838882061,3.984898668,5.823780729,-0.938156919,3.060786795,2.122629876,2.416858736,2.416858736,0,-0.878720838,3.186955233,2.308234395,-0.190482842
Rudy Gay,gayru01,2020,2496,1156,-1.329659721,0.530482426,-0.799177295,-3.246799626,1.974346508,-1.272453118,-1.831506434,0.897558636,-0.933947798,1.07422238,1.07422238,0,-1.680720585,-0.265242053,-1.945962638,0.298226194
Paul George,georgpa01,2020,2367,1106,3.723207602,1.643045256,5.366252858,2.805876855,-0.290047201,2.515829654,3.707821178,1.294246462,5.00206764,4.433875514,4.433875514,0,4.019763001,1.677487594,5.697250594,1.388480995
Taj Gibson,gibsota01,2020,1905,922,-1.360276907,-0.178662909,-1.538939816,-2.984113251,-4.555714173,-7.539827424,-1.73564198,-1.066897749,-2.80253973,-0.024511626,-0.024511626,0,-2.470323173,-1.497684479,-3.968007652,-0.839238812
Harry Giles III,gilesha01,2020,1065,505,-2.703484605,-3.267169111,-5.970653716,-0.311805633,-2.375254257,-2.687059891,-2.355275752,-3.281221501,-5.636497253,-0.742013931,-0.742013931,0,-1.878931702,-2.5296118,-4.408543502,-0.232530847
Shai Gilgeous-Alexander,gilgesh01,2020,4413,2124,0.797798535,-0.41753947,0.380259065,4.421954353,-3.050347904,1.371606449,1.593205706,-1.027012759,0.566192947,3.577145803,3.577145803,0,1.30324395,-0.255855937,1.047388012,-0.468337141
Rudy Gobert,goberru01,2020,4098,1975,-0.650181492,7.015554852,6.365373359,1.720074529,3.696530776,5.416605305,-0.198421147,6.710052792,6.511631645,9.308699793,9.308699793,0,-0.019928037,6.217277057,6.19734902,-0.259508865
Brandon Goodwin,goodwbr01,2020,860,393,-0.852344326,0.430378555,-0.421965771,-7.380061939,1.540925037,-5.839136902,-2.201269756,0.756912541,-1.444357215,0.260615246,0.260615246,0,-1.252872802,-0.682026099,-1.934898901,-0.458852773
Aaron Gordon,gordoaa01,2020,3677,1774,-0.712077114,-1.199566599,-1.911643713,1.478484254,-4.110917396,-2.632433142,-0.254630548,-1.917770545,-2.172401093,0.519698455,0.519698455,0,-0.026718127,-1.278796544,-1.305514671,-0.601752671
Eric Gordon,gordoer01,2020,2006,897,-0.631819369,-2.447007163,-3.078826531,0.11680513,-2.043600085,-1.926794956,-0.569765111,-2.52012408,-3.089889191,-0.156886641,-0.156886641,0,0.10904489,-2.973591272,-2.864546382,0.876673825
Devonte' Graham,grahade01,2020,4199,2063,1.963256805,-1.521160654,0.44209615,4.785662132,-0.051161743,4.734500389,2.773183515,-1.28386882,1.489314695,4.441336689,4.441336689,0,3.391799708,-1.576377122,1.815422586,-0.47383848
